회사명,거래소코드,유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),기말이익잉여금(결손금)(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),총자본증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),경영자본정상영업이익률(IFRS연결),경영자본순이익률(IFRS연결),자본금정상영업이익률(IFRS연결),자본금순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),기타손익비률(IFRS연결),금융손익비율(IFRS연결),금융비용부담률(IFRS연결),기업순이익률(IFRS연결),수지비율(관계기업투자손익 제외)(IFRS연결),인건비 대 총비용비율(IFRS연결),금융비용 대 총비용비율(IFRS연결),감가상각비 대 총비용비율(IFRS연결),감가상각률(IFRS연결),누적감가상각률(IFRS연결),이자부담률(IFRS연결),지급이자율(IFRS연결),차입금평균이자율(IFRS연결),유보율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순이익(IFRS연결)(원),1주당 CASH FLOW(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),비유동장기적합률(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매출채권비율(IFRS연결),매출채권 대 매입채무비율(IFRS연결),"매출채권 대 상,제품비율(IFRS연결)",매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),비유동부채비율(IFRS연결),순운전자본비율(IFRS연결),차입금의존도(IFRS연결),차입금비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),유보액대비율(IFRS연결),유보액 대 납입자본배율(IFRS연결),유동자산집중도(IFRS연결),비유동자산집중도(IFRS연결),투자집중도(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),정상영업이익대비이자보상배율(IFRS연결),총자본회전률(IFRS연결),경영자본회전률(IFRS연결),자기자본회전률(IFRS연결),자본금회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),재고자산회전기간(IFRS연결),"상품,제품회전률(IFRS연결)","원,부재료회전률(IFRS연결)",재공품회전률(IFRS연결),매출채권회전률(IFRS연결),매출채권회전기간(IFRS연결),비유동자산회전률(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결),운전자본회전률(IFRS연결),1회전기간(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),법인세비용차감전(계속사업)손익(IFRS연결)(백만원),인건비(IFRS연결)(백만원),금융비용(IFRS연결)(백만원),감가상각비(IFRS연결)(백만원),기계투자효율(IFRS연결)_4,부가가치율(IFRS연결)_5,PBR(최고)(IFRS),PSR(최고)(IFRS),기업가치(EV)(IFRS)(백만원),EBITDA(IFRS)(백만원),감사의견코드,라벨
(주)국보,1140,25490794,61030843,75396030,-70357303,-27194992,0,40641438,65584592,-17.53,-6.89,-28.18,16.2,0.35,-67.06,-14.23,-1.08,-19.08,-66.91,-7.69,-9.3,-32.6,-39.58,-137.36,-15.98,-56.06,-21.88,-76.74,101.08,119.08,-47.84,-15.24,14.15,-25.71,107.94,11.42,11.78,8.82,33.97,102.43,9.01,15.63,16.44,24.04,315.9,-1366,-2.86,-60.27,33.81,16.84,51.08,28.12,66.19,13.01,86.99,123.75,508.64,347.4,41.77,34.74,0.04,86.5,64.53,91.71,134.04,668.45,622.04,94.79,46.41,-47.14,60.21,462.66,-1.09,2.53,0.24,58.35,146.88,116.57,-4.62,-6.68,-4.02,-7.46,-1.35,0.49,0.84,2.07,1.15,0.64,6.15,59.33,1.71,2.09,9.49,38.47,10.04,0,0,9.36,38.99,0.68,7,0.5,0.08,0.06,-11537.54,-15.3,-206.12,-115375398.4,-28.39,-27194.99,5578.54,5752.33,4309.48,-115375398.4,-28.39,96.59,14.1,75600.74,-3317.3,DU,1
(주)시스웍,269620,13378962,38404361,22499351,-100336470,-9370898,0,12863194,39592894,-22.54,13.88,-18.85,-24.87,-26.24,0,-11.27,8.82,-14.31,-72.85,-6.88,-7.14,-36.36,0,0,-9.99,-50.85,-12.39,-63.07,91.18,114.31,-6.54,1.39,0.17,-36.27,119.62,11.68,0.13,3.14,18.24,79.59,0.06,0.33,0.35,-209.37,86.57,-63,8.06,-12.39,59.46,34.72,146.69,38.82,40.54,0,175.97,-115.04,0,0,34.84,22.74,9.2,63.16,139.96,146.81,45.13,0,0,95.61,0,-111.23,120.46,0,-20.41,0,0,121.23,79.14,122.45,-1.47,-2.14,-2.58,-4.52,-84.17,0.5,0.7,0,0.87,0.34,6.51,56.07,0.82,1.27,2.35,155.25,4.79,9.57,8.92,3.52,103.71,1.26,5.99,0.25,0,0,-242.59,-1.08,-12.61,-321.93,-1.89,-2681.34,1909.33,21.87,513.51,-321.93,-1.89,0,0,154531,521.08,DU,1
(주)코다코,46070,98025987,252006432,359831100,-91970943,50366407,157838,251427529,346826114,-16.89,-8.91,-7.18,-35.04,-38.71,0,-15.09,-2.23,-14.76,20.03,-9.36,-9.36,12.71,0,0,-9.9,13.44,-260.45,365.98,102.23,114.76,34.86,-4.67,4.67,15.67,87.15,10.2,3.43,8.14,12.66,132.23,2.93,6.34,5.14,110.92,9677.98,5800,-364.25,-1428.72,27.24,49.22,37.44,13.83,72.76,3.61,96.39,209.71,2013.11,242.81,38.9,19.75,1.74,59.13,185.9,115.91,31.81,2666.87,1937.77,80.06,729.1,-42.79,51.55,1426.33,-3.16,1.66,0.84,49.5,108.15,134.64,0.37,0.68,0.35,0.5,-3.16,0.63,0.67,0,17.64,0.63,9.33,39.1,2.02,4.12,3.96,92.16,8.58,54.16,16.95,7.28,50.16,0.92,1.02,0.55,0.5,0.01,125694.86,34.93,53.94,147.25,49.99,50524.24,34951.38,11742.99,27899.96,147.25,49.99,0.28,0.07,227725.83,8248.53,DS,1
(주)아이에이치큐,3560,57473875,40189333,140860366,-22818571,-24115621,-2947929,32431991,41043210,-7.12,-2.69,-38.6,262.83,0,-10.62,-10.66,100,-22.09,-74.36,-3.29,-4.9,-16.49,-6.87,-23.95,-9.77,-32.89,-249.52,-811.29,0,122.09,-61.36,0.11,-1.25,-16.77,98.11,26.93,-1.08,31.53,43.08,46.91,-0.96,12.44,10.76,3204.89,1997.8,-4203,-285.73,-441.32,40.8,0,68.92,40.8,59.2,70.86,29.14,3054.99,83.54,82.83,143.01,143,0.9,182101.24,418.27,0,43536.33,41.12,40.26,94.96,0.86,12.27,11.07,15.63,-3.69,74.06,34.72,113.03,337.94,283.97,7.36,19.37,2.15,9.32,0,0.22,0.44,0.31,11.3,0.77,20.76,17.58,0.88,0.88,23586.9,0.02,0,0,0,6.41,56.93,0.3,1.14,0.45,0,0.03,-5669.99,-4.03,-21.89,-3754.51,-17.48,-27063.55,10123.55,-405.41,11853.83,-3754.51,-17.48,0,0,78489.7,6492.57,DS,1
(주)아이엠,101390,27087582,54860352,75717222,-46591361,-24949621,5724812,126074202,61266053,12.76,44.72,59.57,-26.14,-33.52,-36.73,1.42,10.11,-2.29,-19.79,-3.52,-4.05,-34.93,-15.37,-133.8,-4.9,-42.29,-52.51,-452.88,89.89,102.29,-12.66,-2.82,3.52,-28.71,107.24,15.33,2.93,4.46,23.18,111.33,8.45,25.9,31.04,169.25,12520.48,-2484,636.85,-287.28,35.77,14.33,55.7,30.65,64.23,19.09,80.91,222.64,336.51,233.16,49.38,42.3,9.92,314.78,46.77,1143.8,672.99,423.95,379.63,97.25,44.33,-36.68,24.6,128.89,-0.6,14.51,1.69,25.29,31.37,45.82,7.79,25.62,6.3,3.79,-0.65,1.76,2.14,6.7,22.89,2.4,5.79,63.09,3.95,4.67,25.95,14.07,61.67,48.95,3858.78,11.94,30.57,3.19,4.81,1.58,0.03,0,16622.24,21.95,67.1,126.43,13.18,-18853.46,23275.75,4444.02,6765.15,126.43,13.18,8.04,2.57,37388.25,-3849.3,DU,1
(주)알에프세미,96610,14942080,8313936,22795375,-42205518,-2833354,76776,24396935,10765547,-25.55,-43.76,-45.09,-8.43,-12.16,-18.49,-9.88,6.48,-10.66,-11.61,-9.73,-9.74,-10.61,-19.54,-21.35,-9.88,-10.76,-29.91,-32.59,93.52,110.66,-0.64,-0.43,2.6,-8.23,110.39,25.31,2.17,5.25,16.13,745.5,4.74,13.89,9.55,37.08,1403.22,-163,51.46,-149.55,65.55,61.76,190.27,25.06,34.45,52.77,47.23,137.08,65.28,54.23,179.72,68.72,22.42,36.38,552.46,117.08,6.59,89.49,69.11,98.26,20.38,29.08,20.09,38.07,-4.09,14.64,0.38,64.06,45.41,92.38,-3.47,-8.15,-1.64,-1.53,-4.09,0.91,0.93,1.83,2.81,1.82,32.85,11.11,1.56,4.23,2.47,147.62,8.97,12.84,4.65,7.71,47.34,2.2,2.3,0.94,0,0.01,6850.08,30.05,92.56,281.34,28.08,-2756.58,7414.96,635.08,1537.06,281.34,28.08,7.12,3.31,54663.12,-2196.78,DU,1
(주)에이디칩스,54630,75741704,63849181,75763719,-49229944,-10109297,0,6422889,65984915,-7.21,-100,-96.48,-6.52,-67.18,-50.91,-60.24,-6.58,-140.35,-157.39,-11.19,-11.45,-12.84,-60.71,-68.08,-121.14,-135.85,-41.12,-46.12,106.58,240.35,-17.05,-69.74,69.74,-7.15,190.06,13.78,21,0.88,22.13,0,7.01,9.61,9.8,145.65,80.58,-1268,-35.39,-113.09,99.97,2.35,344045.89,97.62,0.03,12.91,87.09,245.36,0.23,0.18,118.63,115.84,0.07,17.58,19.85,21.4,88.57,674.77,652.93,95.88,21.84,15.7,64.36,498.65,-1.92,7.66,1.46,1220.4,5.05,53.37,-12.75,-17.25,-11.1,-130.97,-2.01,0.08,0.86,0.43,0.29,0.1,3.13,116.48,0.08,0.09,1.78,204.52,2.79,5.37,61.25,2.64,138.03,19.82,35.43,0.05,1,0,-2501.23,-3.3,0,0,-38.94,-10109.3,2940.81,4479.53,187.73,0,-38.94,2.8,4.27,61309.62,-8815.73,DU,1
삼부토건(주),1470,209360558,269202734,300331502,-332321984,-127766952,1570,462425746,292664231,-41.54,-78.79,-8.19,-49.51,-83.49,-89.4,-19.57,-9.9,-24.35,-27.63,-27.19,-27.66,-31.39,-205.07,-219.19,-32.69,-37.1,-51.89,-58.86,109.9,124.35,-3.28,-2.6,2.48,-28.57,127.13,10.88,1.92,0.32,27.93,0,3.26,19.3,9.78,-95.05,2203.46,-592,444.06,-536.43,69.71,13.53,230.14,60.28,30.29,2.55,97.45,4.86,1186.48,292.24,77.77,67.25,6.32,249.34,72.35,0,344.66,3817.06,3511.06,98.07,306,-19.93,23.09,904.56,-8.41,-73.85,-0.97,67.47,20.55,51.5,-2.37,-10,-2.31,-1.5,-9.81,1.14,1.34,8.42,2.13,1.31,4.65,78.43,1.48,2.18,4.63,78.91,67.92,5.43,62.43,6.27,58.17,4.87,42.75,0.74,0.17,0.02,-39368.68,-13.11,-1040.16,-2069857.25,-8.51,-127765.38,65131.48,11478.05,1913.15,-2069857.25,-8.51,44.78,1.36,272310.6,-93120.32,DU,1
범양건영(주),2410,85310734,152013806,187184487,-46065360,-46345997,846605,101357085,168333689,-2.97,-18.77,-10.22,7.39,-5.22,-69.79,-16.07,-25.89,-37.72,-45.73,-19.64,-20.12,-24.39,-94.42,-114.79,-27.01,-32.75,-146.17,-177.19,125.89,137.72,-7.17,-4.62,2.8,-22.9,143.33,10.06,1.88,1.16,9.18,42.82,1.89,4.02,4.49,-31.83,4081.72,-1829,-669.68,-1539.64,45.58,34.35,83.74,29.92,54.42,10.07,89.93,68.17,540.42,289.66,56.12,36.84,0.02,69.47,95.38,0,72.84,892.98,806.41,98.66,86.57,-35.63,49.78,494.26,-10.22,-4.61,-0.31,81.27,106.23,129.99,-6.75,-12.19,-6.07,-11.21,-13.49,0.53,0.72,2.5,3.88,0.68,4.74,76.98,1.23,1.94,3.37,108.43,71.06,3.53,0,8.73,41.83,0.94,1.65,0.47,0.14,0.01,-24354.04,-13.01,-44.12,-33524.73,-24.03,-45499.39,15133.88,2833.71,1746.77,-33524.73,-24.03,5.1,1.14,97409.82,-36878.92,DU,1
(주)이엔플러스,74610,23544538,86406847,100287243,-260270294,-80724058,0,58314143,92824683,-41.75,-6.26,-25.62,-65.87,-43.83,-87.45,29.91,4.37,-38.39,-138.43,-16.29,-16.43,-59.26,-51.57,-175.33,-23.72,-85.54,-62.52,-216.35,95.63,138.39,-100.04,-13.29,15.44,-52.65,206.78,10.71,6,3.51,14.39,120.68,9.7,15.15,16.72,-73.14,801.39,-1075,-78.91,-307.62,23.48,34.56,30.68,15.36,76.52,7.44,92.56,26.86,1028.37,552.89,27.25,17.83,2.18,91.1,89.58,816.89,101.69,1243.87,1157.87,93.15,86,-62.68,60.51,813.2,-2.43,-29.14,-0.8,79.33,154.27,136.12,-6.44,-9.84,-5.96,-10.24,-2.49,0.43,0.62,1.34,1.63,0.63,6.09,59.93,1.26,1.67,5.15,70.81,41.84,10.48,13.39,7.05,51.74,0.65,1.04,0.44,0.17,0.02,-50397.36,-50.25,-93.43,-1118.28,-86.42,-80724.06,16068.86,9004.31,5263.61,-1118.28,-86.42,13.72,14.23,102605.36,-13122.51,DU,1
(주)한창,5110,53823309,84315594,70208203,-93346479,-18484223,150925,3089124,85913739,-22.26,-35.98,-41.84,-13.38,69.05,-250.68,-95.34,5.28,-305.71,-598.36,-10.27,-11.77,-23.03,0,0,-19.56,-38.28,-101.51,-174.88,94.72,405.71,-296.14,-0.45,-17.47,-23.7,393.24,9.63,-2.16,3.65,23.61,0,-0.62,2.39,2.33,-207.87,166.02,-882,-942.09,-507.55,76.66,24.45,328.49,57.92,23.34,0,122.37,-109.85,0,0,63.84,48.23,0.62,3.39,197.61,0,1.71,0,0,97.55,0,-43.43,39.33,0,-14.32,0,0,1876.92,721.21,1062.82,-12.67,-39.43,-15.51,-352.41,0,0.04,0.06,0,0.33,0.04,1.36,267.52,0.05,0.07,0.3,1237.14,2,1.36,13.17,0.48,761.2,0.14,1.07,0.02,0,0,-15842.32,-22.56,-705.72,-36850.32,-512.84,-18591.68,2400.85,-539.73,911.13,-36850.32,-512.84,0,153.1,55081.93,-5982.77,DU,1
(주)프로브잇,227100,33491797,44110001,48933783,-101277847,-32197044,5636147,66930267,44369581,-63.81,375.06,-73.44,-56.54,-81.98,-68.56,-63.29,4.03,-51.55,-48.11,-37.13,-37.48,-34.97,-361.68,-337.48,-54.8,-51.13,-326.39,-304.55,95.97,151.55,11.87,-3.01,4.9,-31.41,119.57,3.2,2.09,0.59,30.86,41.64,3.97,20.26,12.71,-68.12,3631.3,-1599,-706.38,-1872.11,68.44,5.11,216.89,64.95,31.56,9.33,90.67,31.88,338.33,320.12,75.93,72.05,0.02,1146.12,188.44,1146.12,608.22,972.12,966.43,98.54,5.69,-21.7,36.29,389.05,-9.59,-19.93,-0.68,82.59,54.97,42.62,-39.47,-98.61,-35.78,-26.16,-10.52,0.73,1.06,7.02,6.33,0.81,11.89,30.7,1.21,1.35,11.95,30.56,11.95,0,0,2.55,143.18,1.82,19.09,0.5,0.33,0.01,-17264.76,-35.28,-3614.92,-4245.44,-25.8,-26560.9,5029.81,3278.65,922.84,-4245.44,-25.8,24.84,3.25,32188.06,-7221.77,DU,1
(주)제일엠앤에스,412540,275279831,327069470,323358430,-145821502,-121503850,890133,247486444,342334703,46.05,-3.77,5.23,56.67,101.28,-138.2,72.86,-12.94,-52.37,-49.1,-47.41,-47.59,-44.61,0,-791.4,-48.94,-45.87,-1337.77,-1254.04,112.94,152.37,3.64,-0.68,0.68,-43.99,145.67,6.53,0.44,0.61,10.98,19.75,0.65,4,4.57,-284.23,6829.51,-6409,-1753.89,-3576.82,85.13,71.6,572.56,24.18,14.87,0,105.87,-184.23,0,0,84.17,23.91,6.47,15.34,55.88,119.18,27.44,0,0,80.95,0,-16.02,16.61,0,-60.36,0,0,91.11,18.94,127.02,-10.61,-67.6,-11.23,-14.68,-77.33,0.91,0.93,0,25.54,0.96,4.53,80.62,1.1,3.17,1.68,217.54,19.52,17.71,2.05,9.06,40.29,5.28,6.73,0.53,0.17,0.01,-89319.45,-27.62,-247.71,-6946.49,-36.09,-120613.72,25125.85,1676.21,2365.02,-6946.49,-36.09,0,6.56,176527.83,-127515.38,DS,1
(주)스튜디오산타클로스엔터테인먼트,204630,26592179,43877209,87169549,-101327757,-10634676,456388,7126652,44426428,1.69,30.77,23.54,-27.51,5.98,-15.98,24.97,18.34,-98.27,-149.22,-7.49,-8.1,-12.3,-14.96,-22.72,-14.1,-21.42,-21.89,-33.24,81.66,198.27,-44.55,16.07,6.22,-11.79,93.42,20.25,3.35,9.77,14.31,15.34,1.12,2.91,3.07,1585.99,58,-2423,-28.8,-57,30.51,81.18,43.9,5.74,69.49,49.03,50.97,1679.51,141.72,139.93,60.61,11.41,1.78,8.52,0,0,0,103.94,102.65,99.56,1.28,-19.83,38.29,78.09,-7.22,46.3,15.86,443.95,769.02,679.27,-17.66,-23.51,-9,-110.09,-15.8,0.08,0.14,0.15,0.22,0.18,0,0,0.23,0.67,0.34,1074.4,0,0.41,1.92,6.13,59.59,0.13,0.63,0.1,0.17,0,-6423.6,-7.37,-60.93,-141333.42,-90.13,-10178.29,2674.88,443.16,1290.74,-141333.42,-90.13,1.83,7.64,38925.41,-3509.38,QS,1
(주)셀레스트라,352770,6609471,44433489,53557667,-104331550,-47055130,-33597,8501826,48079577,-28.09,35.48,-16.59,-63.68,-99.99,-85.89,-25.47,-13.9,-337.69,-553.47,-44.41,-44.84,-73.5,-129.1,-212.9,-54.86,-89.91,-810.3,-1324.41,113.9,437.69,-216.18,-2.22,43.12,-67.77,317.45,11.36,5.55,5.2,21.75,163.83,8.77,12.26,14.05,63.42,233.94,-1254,-309.89,-790,12.34,0,14.08,12.34,87.66,10.23,89.77,140.15,857.02,514.55,14.87,14.87,3.61,168028.89,79.01,168028.89,212654.67,877.67,811.11,91.69,66.56,-70.62,60.08,587.41,-7.28,4.66,0.64,145.9,607.12,498.07,-22.83,-34.12,-20.5,-129.13,-7.83,0.13,0.16,0.38,2.4,0.2,17.2,21.22,0.69,0.76,7.13,51.22,69.52,8.66,1503.15,11.46,31.85,0.16,0.28,0.18,1,0.02,-32138.08,-60.01,-90.54,-12490.41,-378.01,-47088.73,7501.79,3666,3430.82,-12490.41,-378.01,7.49,42.94,46448.7,-9165.25,DU,1
(주)코스나인,82660,10173921,15861669,39024201,-82291358,-19463046,9352,9745771,16944358,-25.11,-1.13,0.92,-56.75,-3.82,-36.31,1.43,-11.86,-85.01,-199.71,-17.31,-18.18,-42.71,-29.2,-68.6,-18.94,-44.49,-17.79,-41.8,111.86,185.01,-114.6,-21.79,30.43,-36.21,222.43,15.92,8.39,1.6,4.08,50.8,17.25,41.74,37.66,-55.68,109.97,-209,-136.74,-93.49,26.07,15.42,35.26,22.05,73.93,56.58,43.42,44.32,130.66,124.56,64.14,54.25,4.51,2.49,3.27,4.09,76.19,76.74,71.84,95.18,4.9,-14.57,20.65,36.49,-2.46,-71.08,-0.56,172.88,294.68,380.21,-58.86,-123.77,-25.56,-102.33,-2.79,0.21,0.22,0.34,0.21,0.57,10.17,35.9,0.58,0.64,6.09,59.91,11.69,16.75,52.88,8.69,42.01,0.34,0.37,0.29,0.2,0.02,-10270.21,-26.32,-39.25,-3457.08,-105.38,-19453.69,5626.79,2965.64,565.02,-3457.08,-105.38,2.5,5.73,55389.29,-7523.34,DU,1
이오플로우(주),294090,9178380,32766623,57592869,-33228940,-64725973,0,5030925,52135667,-28.62,-12.34,-12.55,-63.75,-30.76,-98.95,-23.65,-49.32,-1212.69,-1286.56,-87.11,-88.24,-93.62,-189.67,-236.79,-109.4,-116.06,-2005.17,-2058.04,149.32,1312.69,-73.87,-42.07,79.42,-87.84,737.8,9.78,5.61,10.3,18.34,33.43,10.81,13.98,19.54,-81.91,165.34,-2058,-1369.94,-2005.09,15.94,26.33,18.96,11.74,84.06,9.48,90.52,18.09,887.17,195.01,28.01,20.64,10.34,11.33,411.61,38.44,2.75,955.36,600.43,52.03,354.93,-40.96,59.35,626.33,-12.77,4.19,0.79,342.89,1031.41,900.1,-63.44,-96.77,-57.43,-657.48,-15.27,0.07,0.09,0.16,1.65,0.14,31.44,11.61,0.29,0.35,1.7,214.3,5.98,2.9,13.22,10.56,34.56,0.1,0.18,0.13,0,0,-47734.29,-82.88,-182.11,-342.39,-948.82,-64725.97,6963.01,3995.75,7334.81,-342.39,-948.82,113.77,105.53,134640.08,-48024.81,DU,1
