회사명,거래소코드,유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),기말이익잉여금(결손금)(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),총자본증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),자기자본증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),매출액정상영업이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본정상영업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본정상영업이익률(IFRS연결),자기자본순이익률(IFRS연결),경영자본정상영업이익률(IFRS연결),경영자본순이익률(IFRS연결),자본금정상영업이익률(IFRS연결),자본금순이익률(IFRS연결),매출원가 대 매출액비율(IFRS연결),영업비용 대 영업수익비율(IFRS연결),기타손익비률(IFRS연결),금융손익비율(IFRS연결),금융비용부담률(IFRS연결),기업순이익률(IFRS연결),수지비율(관계기업투자손익 제외)(IFRS연결),인건비 대 총비용비율(IFRS연결),금융비용 대 총비용비율(IFRS연결),감가상각비 대 총비용비율(IFRS연결),감가상각률(IFRS연결),누적감가상각률(IFRS연결),이자부담률(IFRS연결),지급이자율(IFRS연결),차입금평균이자율(IFRS연결),유보율(IFRS연결),1주당매출액(IFRS연결)(원),1주당순이익(IFRS연결)(원),1주당 CASH FLOW(IFRS연결)(원),1주당정상영업이익(IFRS연결)(원),유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),비유동장기적합률(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매출채권비율(IFRS연결),매출채권 대 매입채무비율(IFRS연결),"매출채권 대 상,제품비율(IFRS연결)",매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),비유동부채비율(IFRS연결),순운전자본비율(IFRS연결),차입금의존도(IFRS연결),차입금비율(IFRS연결),이자보상배율(이자비용)(IFRS연결),유보액대비율(IFRS연결),유보액 대 납입자본배율(IFRS연결),유동자산집중도(IFRS연결),비유동자산집중도(IFRS연결),투자집중도(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),정상영업이익대비이자보상배율(IFRS연결),총자본회전률(IFRS연결),경영자본회전률(IFRS연결),자기자본회전률(IFRS연결),자본금회전률(IFRS연결),타인자본회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),재고자산회전률(IFRS연결),재고자산회전기간(IFRS연결),"상품,제품회전률(IFRS연결)","원,부재료회전률(IFRS연결)",재공품회전률(IFRS연결),매출채권회전률(IFRS연결),매출채권회전기간(IFRS연결),비유동자산회전률(IFRS연결),유형자산회전율(IFRS연결),순운전자본회전률(IFRS연결),운전자본회전률(IFRS연결),1회전기간(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),법인세비용차감전(계속사업)손익(IFRS연결)(백만원),인건비(IFRS연결)(백만원),금융비용(IFRS연결)(백만원),감가상각비(IFRS연결)(백만원),기계투자효율(IFRS연결)_4,부가가치율(IFRS연결)_5,PBR(최고)(IFRS),PSR(최고)(IFRS),기업가치(EV)(IFRS)(백만원),EBITDA(IFRS)(백만원),감사의견코드,라벨
(주)석경에이티,357550,19643658,2166156,49219176,22629034,4335630,-936479,13816435,9380828,22.39,63.53,57.5,-8.36,11.45,10.54,13.28,61.13,14.61,31.38,5.14,4.52,9.7,5.32,11.43,5.35,11.49,74.03,158.96,38.87,85.39,9.99,2.44,-1.91,9.1,77.96,31.2,-2.2,8.65,13.54,135.65,-3.9,0.3,0.54,1397.28,2532.8,796,805.88,370.13,39.91,19.1,66.42,32.29,60.09,80.94,19.06,1460.62,74.24,62.86,906.84,733.6,399.7,33.96,627.03,107.9,5.42,23.55,5.44,2.05,18.11,35.51,11,13.59,124.13,77.43,13.97,148.66,174.99,271.85,39.58,68.58,7.54,26.87,0,0.31,0.37,0.36,5.07,2.04,86.89,4.2,0.67,0.81,3.88,94.05,11.22,9.28,16.45,11.85,30.8,0.57,0.63,0.61,0,0.01,7922.04,16.1,44.58,183.87,57.34,3399.15,3751.23,-264.38,1040.53,183.87,57.34,9.25,26.59,211482.5,2953.33,UQ,0
(주)씨메스,475400,72743737,3999246,80987639,-41601338,-13462782,0,6888406,6738820,0,0,0,0,0,0,0,7.24,-207.42,-195.44,-16.68,-17.64,-16.62,-19.24,-18.13,-18.85,-17.76,-246.16,-231.95,92.76,307.42,11.98,10.11,-10.09,-17.48,272.23,57.87,-3.27,6,40.19,23.13,-10.31,2.43,2.43,1179.22,760.36,-1402,-1396.39,-1577.12,89.82,2.05,882.39,87.98,10.18,91.68,8.32,1279.22,11.1,10.71,1818.94,1781.57,1645.55,200.93,512,24467.41,39.24,9.08,5.39,20.29,3.69,84.88,4.07,4.44,-178.34,84.51,11.79,1056.03,119.68,1100.39,-187.73,-383.89,-15.62,-183.65,0,0.09,0.09,0.09,1.19,1.02,11.75,31.07,0.09,0.1,4.61,79.18,561.36,26.77,5.8,2.29,159.09,0.84,1.57,0.09,0,0,-24.74,-0.03,-1.6,-4.92,-0.36,-13462.78,12315.23,-694.93,1276.37,-4.92,-0.36,4.34,50.63,216532.96,-11579.04,UQ,0
(주)씨씨에스충북방송,66790,24463846,2768625,38009613,-2654636,-1073241,0,18337213,3524269,20.46,-11.53,-9.73,47.85,0,25.22,-4.55,20.19,-4.64,-5.85,-0.4,-2.44,-3.09,-2.74,-3.46,-2.57,-3.25,-2.81,-3.54,79.81,104.64,-1.22,3.31,-3.31,-4.83,105.47,13.75,-2.93,13.57,21.09,337.84,-16.12,11.56,11.46,16.75,287.19,-18,39.48,-13.31,64.36,0.01,180.6,64.36,35.64,90.73,9.27,105.86,39.28,38.44,883.61,883.55,412.87,26830.36,61.21,0,43833.67,10.22,8.03,15.6,2.19,57.08,2.32,2.55,-8.34,14.36,0.17,111.82,77.85,197.57,95.76,383.13,8.88,18.4,0,0.53,0.55,0.59,0.61,4.87,22.58,16.16,0.89,0.89,23389.3,0.02,0,0,0,32.09,11.37,1.28,1.62,0.79,0,0,3819.74,10.05,35.87,47.79,20.83,-1073.24,2847.53,-607.49,2810.39,47.79,20.83,12.4,23.5,87179.13,1979.85,UQ,0
(주)아이씨티케이,456010,33498660,1121060,45792683,-38169030,-5817712,0,6683573,2780906,0,0,0,0,0,0,0,45.04,-100.03,-87.04,-12.69,-14.6,-12.7,-15.54,-13.53,-16.4,-14.27,-100.71,-87.64,54.96,200.03,12.99,11.02,-9.86,-14.14,174.47,47.4,-4.84,7.54,16.59,9.66,-23.71,11.67,11.67,547.92,503.4,-467,-447.91,-503.55,73.15,4.54,272.48,69.83,26.85,93.93,6.07,647.92,28.58,27.52,2988.12,2852.42,521.52,163.92,0,6765.51,0,6.47,2.61,28.64,3.86,70.7,4.07,4.33,-30.76,79.43,5.48,501.21,183.94,610.09,-213.84,-319.18,-12.99,-88.98,0,0.15,0.16,0.16,1.01,2.4,0,0,0.2,0.21,4.39,83.08,181.32,8.32,9.82,2.68,136.19,0.54,3.62,0.19,0.14,0,1220.99,2.67,66.16,83.22,18.27,-5817.71,6460.47,-659.29,1027.6,83.22,18.27,22.62,134.24,126858.69,-5651.31,UQ,0
(주)케어젠,214370,96406402,8066162,240696868,286133968,32313654,7853055,82585948,17719089,-2.66,96.25,78.47,-42.07,-3.29,-1.9,4.26,66.98,41.47,39.13,14.45,14.04,13.24,15.21,14.35,14.82,13.98,637.62,601.58,33.02,58.53,7.16,6.98,-1.21,12.83,55.1,26.29,-2.03,10.46,10.89,54.67,-5.3,0,0,5395.98,1537.48,658,251.08,637.62,40.05,18.78,66.81,32.53,59.95,92.64,7.36,4151.13,64.71,62.03,1195.2,970.74,62.87,182.11,1869.13,244.05,9.74,7.95,3.62,0,4.33,36.7,0,0,999999999,120.42,53.96,159.13,136.31,279.27,118.77,0,8.74,25.48,0,0.34,0.36,0.37,15.37,4.38,62.24,5.86,0.63,0.73,4.49,81.38,5.87,19.17,0,3.58,101.91,0.73,0.87,0.59,0,0.01,57232.11,23.78,46.2,512.83,69.3,40166.71,12955.99,-999.04,5156.33,512.83,69.3,7.98,19.19,1541957.9,39418.08,UQ,0
(주)아이에스시,95340,405104881,52271210,582882970,222040653,54898977,14686321,174480094,59741369,7.58,-0.64,-1.24,11.97,0.03,10.45,24.43,42.64,25.67,31.46,10.1,7.96,9.76,8.99,10.98,8.97,10.99,422.55,515.77,57.36,74.33,14.21,10.78,-5.96,7.91,66.49,28.43,-7.54,7.14,10.97,78.87,-16.24,7.75,4.95,5001.37,8231.34,2671,2390.54,2112.76,69.5,3.81,227.87,66.85,30.5,89.75,10.25,4932.65,33.98,33.5,775.01,745.47,76.27,213.04,434.77,985.69,49,11.42,9.99,98.52,1.43,60.53,3.51,3.91,28.22,91,50.05,219.77,102.53,296.93,61.14,178.47,6.27,20.93,0,0.31,0.35,0.35,16.46,2.72,28.2,12.94,0.46,0.47,11.3,32.29,37.85,29.26,82.58,6.47,56.39,0.98,1.89,0.4,0,0.01,108287.54,18.58,119.89,608.03,62.06,69585.3,39249.61,-10404.67,9857.3,608.03,62.06,4.51,13.76,1513304.7,43860.96,UQ,0
(주)알테오젠,196170,211784661,129185746,409011974,76871953,60690356,-24078411,102854621,134920913,59.71,2.37,76.06,47,-10.44,84.72,6.56,62.29,24.7,59.01,9.99,7.64,18.25,12.04,29.52,8.49,20.28,95.57,234.18,37.71,75.3,10.9,6.97,-6.95,16.1,69.36,22.07,-8.62,3.44,2.58,8.36,-5.88,0.66,0.73,931.32,1935.98,1172,998.43,478.17,51.78,0.45,107.38,51.55,48.22,67.01,32.99,1026.25,71.96,70.48,163.94,163.2,14.7,1800.02,171.53,6440.92,1049.4,49.22,47.13,94.99,2.09,20.19,24.83,37.05,37.64,60.83,9.33,172.99,150.33,334.39,16.78,22.29,5.54,22.01,0,0.31,0.34,0.49,3.87,0.85,18.61,19.61,0.58,0.58,101.57,3.59,160.58,390.84,944.23,6.52,55.95,0.67,5.41,0.35,0.01,0.03,51409.62,12.57,285.39,38933.7,49.98,36611.94,18293.29,-7144.36,2850.39,38933.7,49.98,99.14,260.3,16500819.35,33218,UQ,0
(주)에스티큐브,52020,98069152,3544728,111904280,-124406800,-21436613,0,11297658,17628386,143.5,363.47,129.49,145.61,262.58,167.01,93.88,10.59,-200.18,-189.74,-27.51,-28.65,-27.16,-34.9,-33.09,-29.29,-27.76,-78.96,-74.84,89.41,300.18,10.44,8.16,-6.19,-28.04,266.33,13.15,-2.04,3.53,15.12,69.38,-4.94,2.03,3.46,177.85,242.49,-439,-512.91,-485.41,87.64,1.47,708.84,86.35,12.36,84.25,15.75,277.35,14.68,12.77,2766.62,2726,978.02,160.11,383.27,163.97,41.77,18.7,3.76,14.5,14.94,84.47,9.04,10.73,-110.12,54.02,1.78,610.74,87.91,977.12,-137.94,-240.34,-21.73,-215.24,0,0.14,0.15,0.17,0.39,0.8,19.38,18.84,0.16,0.17,12.3,29.67,12.63,0,0,6.71,54.43,1.14,1.73,0.15,0,0.02,-16511.15,-14.75,-153.85,-1930.91,-146.15,-21436.61,4514.73,-699.03,1211.48,-1930.91,-146.15,4.86,52.37,549681.1,-16541.78,UQ,0
(주)에이럭스,475580,46570224,4369636,62805404,4469244,2821958,292401,55042189,5945532,69.29,32.87,75.45,67.24,11.96,98.39,0.36,40.25,5.46,5.13,6.56,6.01,5.65,7.02,6.6,6.27,5.89,119.36,112.12,59.75,94.54,0.2,0.34,0.01,5.67,94.35,52.39,0.02,5.68,44.51,30.35,0.11,8.89,9.89,2003.79,4722.6,236,114.08,257.75,74.15,12.2,286.85,65.1,25.85,90.53,9.47,2103.79,28.55,27.78,1065.77,935.75,748.59,92.05,3095.6,130.81,2.97,10.46,7.68,55.98,2.77,67.19,5.01,5.53,10.74,86.23,20.04,67.6,23.15,109.07,37.32,70.52,3.53,4.03,364.35,1.1,1.15,1.29,21.87,7.67,278.73,1.31,1.48,1.73,10.23,35.66,13.52,54.45,186.67,11.08,32.94,4.32,13.96,1.27,0,0.01,33808.32,53.83,756.61,1004.52,61.42,3114.36,27460.58,8.25,2976.1,1004.52,61.42,3.31,5.35,134108.9,2266.24,UQ,0
(주)엔피엑스,222160,20829777,2689453,26625315,-7006507,-7334661,988818,3689064,3058986,2.57,-2.66,-17.86,10.2,-3.91,-1.17,-70.38,-75.86,-181.49,-198.82,-24.66,-25.47,-27.9,-28.24,-30.94,-26.23,-28.74,-148.47,-162.65,175.86,281.49,9.47,9.08,-5.52,-28.67,253.07,33.02,-1.94,1.72,5.87,93.85,-7.87,8.34,6.88,376.35,448.5,-866,-488.13,-813.99,78.23,41.76,359.41,45.56,21.77,88.51,11.49,476.35,24.59,24.21,774.5,451.06,303.79,33.41,822.99,111.32,4.06,12.98,11.41,42.93,1.57,68.13,0.33,0.38,-904.78,69.93,3.76,538.51,174.18,713.05,-86.75,-2991.73,-9.97,-71.93,0,0.14,0.14,0.16,0.82,1.43,8.18,44.61,0.19,0.34,0.42,878.17,2.29,2.49,0.64,1.1,330.99,0.57,0.75,0.17,0,0,-3085.18,-11.59,-63.21,0,-83.63,-6345.84,3464.14,-203.48,180.9,0,-83.63,3.42,21.45,71471.96,-6513.23,UQ,0
(주)엠로,58970,36870473,9198239,102419751,11240061,18598488,983164,79455970,13426743,11.81,13.52,2.21,34.21,0,212.59,25.77,40.94,10.83,23.41,9.34,8.87,19.17,14.61,31.88,15.72,33.98,147.32,318.54,59.06,89.17,13.81,14.12,0.7,19.75,78.74,41.31,0.77,4,15.36,20.06,1.47,44.08,10.58,1355.28,7086.61,1612,1265.22,767.61,36,0,56.25,36,64,86.89,13.11,1455.28,73.66,70.32,400.84,400.84,235.49,0,597.78,0,0,15.09,10.34,29.52,4.75,27.02,2.24,2.58,8.49,80.96,13.64,40.49,81.61,76.48,77.64,453.39,10.18,13.12,15.36,0.82,1.45,1.35,13.6,2.09,36.56,9.98,2.47,2.47,0,0,0,0,0,11.44,31.9,1.23,5.88,1.19,0,0.05,53016.76,51.76,499.65,4820,66.72,19581.65,29970.63,560.15,2904.32,4820,66.72,11.99,12.58,765677.37,11482.64,UQ,0
(주)오스코텍,39200,141218954,34779293,170778210,-142863107,-1589924,471925,34007603,38418568,28.81,-2.8,-1.96,37.87,4.04,29.15,586.89,93.45,-8.04,-4.68,0.84,-1.8,-1.05,-2.41,0.77,-1.95,-1.13,-14.31,4.59,6.55,108.04,4.75,-0.49,-8.6,-2.98,102.8,27.43,-7.12,4.72,13.2,58.43,-7.66,7.86,10.76,568.04,890.6,23,-681.78,-71.59,82.69,1.25,477.75,81.66,17.31,77.5,22.5,668.04,22.33,21.73,406.04,400.96,37.68,1964.82,170221.42,3767.48,1.15,29.03,26.28,99.47,2.75,62.33,8.09,10.44,-2.52,66.31,5.92,358.23,87.79,468.87,-62.58,-174.01,-14.08,-70.69,0,0.22,0.24,0.3,1.78,0.89,74.25,4.92,0.28,0.28,19.6,18.62,34.18,45.95,0,1.86,196.14,1.14,1.93,0.22,0,0,9042.02,5.29,51.97,262.73,26.59,-1118,11264.12,-2923.09,1938.72,262.73,26.59,13.3,93,935694.6,3142.45,UQ,0
(주)온코크로스,382150,21100552,1848442,22547979,-49195195,-6483144,0,1072200,2091053,28.22,78.89,76.01,25.87,0,24.08,1071.49,67.34,-649.58,-604.66,-33.09,-34.71,-32.31,-37.7,-35.1,-35.29,-32.85,-125.21,-116.55,32.66,749.58,44.92,42.25,-28.52,-33.83,511.32,44.49,-3.79,5.05,33.23,0,-19.17,3.42,5.65,245.03,103.17,-619,-531.54,-670.19,93.58,0,1457.8,93.58,6.42,90.73,9.27,345.03,7.08,6.99,1141.53,1141.53,829.98,0,0,0,0,10.22,9.04,55.8,1.19,85.38,2.43,2.68,-370.65,64.43,2.45,1765.71,105.85,2060.23,-249.4,-950.02,-23.13,-486.39,0,0.05,0.05,0.06,0.19,0.67,0,0,0.06,0.06,0,0,0,0,0,9.75,37.45,0.94,1.36,0.05,0.1,0.03,-2797.04,-12.4,-293.99,-1516.66,-260.87,-6483.14,3585.27,-305.83,406.66,-1516.66,-260.87,7.48,140.06,61090.97,-6513.23,UQ,0
(주)이오테크닉스,39030,445645617,48106248,653015311,523774882,42670270,17724367,320945496,49983890,6.76,25.01,13.73,3.8,-16.67,7.45,1.44,27.74,9.72,13.3,6.25,4.93,6.75,5.35,7.43,5.5,7.52,506.53,695.54,72.26,90.28,10.34,9.98,-2.5,5.48,82.2,15.92,-2.69,2.08,9.76,100.27,-16.18,3.04,3.04,9848.9,26051.72,3540,4493.76,2532.65,68.24,25.24,214.9,51.02,31.76,92.35,7.65,9696.21,34.39,34.28,926.38,692.59,461.96,87.97,659.54,309.78,13.34,8.29,7.98,100,0.31,60.88,1.39,1.5,113.35,93.79,99.43,136.31,60.71,183.3,86.97,480.13,6.66,13.55,0,0.51,0.57,0.55,52.1,6.47,20.94,17.43,0.73,1.02,2.59,140.7,9.96,7.94,6.43,3.55,102.78,1.65,2.66,0.66,0,0,109744.84,16.81,82.89,1260.92,34.19,64384.18,47453.63,-8023.74,6199.46,1260.92,34.19,6.21,11.85,1529075.01,39350.33,UQ,0
(주)인크레더블버즈,64090,77518723,2735527,99822167,-94876480,19027886,950934,4560824,2992954,65.71,146.57,3154.8,30.17,560.38,166.8,-33.91,36.11,-77.51,417.2,-2.55,-4.42,23.78,-5.31,28.59,-5.12,27.54,-17.61,94.8,63.89,177.51,515.56,476.8,-6.4,23.41,39.75,16.9,-2.21,1.62,30.3,16.6,-2.17,74.06,12.45,289.35,105.35,462,37.57,-81.66,77.66,3.53,347.56,74.92,22.34,97,3,389.32,23.03,22.97,2833.78,2733.79,1247.23,38.3,3478.19,38.3,1.1,3.09,2.83,84.45,0.27,74.92,1.63,1.68,-2.94,72.09,2.89,1502.7,252.02,1717.41,-148.34,-273.57,-4.45,-97.34,0,0.06,0.07,0.07,0.23,0.34,184.41,1.98,0.07,0.07,2.9,126.02,3.03,0,0,0.91,399.56,0.4,8.09,0.06,0,0,22127.66,22.17,2757.93,6100.8,485.17,19978.82,2227.55,-291.89,213.18,6100.8,485.17,3.41,72.25,123381.49,-2504.21,UQ,0
(주)인트로메딕,150840,7963257,3423121,10487949,-73464575,-6968880,-1354,10383300,4769983,-40.57,-73.32,-75.38,7.74,30.87,-25.37,2.22,65.76,-14.1,-67.12,-9.95,-10.41,-49.54,-21.8,-101.85,-13.47,-64.13,-35.53,-168.61,34.24,114.1,-40.46,-6.15,5.03,-45.82,145.59,25.29,2.89,3.12,37.71,184.07,7.11,24.1,11.65,35.63,248.12,-167,-20.77,-34.99,75.93,52.12,315.41,36.35,24.07,54.52,45.48,135.63,44.15,35.74,232.63,111.37,41.3,34.51,0,231.66,0,83.42,59.87,75.61,23.55,43.29,23.24,42.63,-2.49,13.52,0.33,73.94,61.54,93.22,-43.94,-85.98,-19.98,-20.19,-2.8,0.74,0.96,1.55,2.52,1.41,117.09,3.12,1.35,2.59,2.84,128.7,15.91,6.06,8.01,6.34,57.6,1.62,5.93,0.79,0,0.01,-3.91,-0.04,-0.53,-1.16,-0.04,-5665.43,4575.06,522.75,564.22,-1.16,-0.04,0,0,251554.12,-905.18,UQ,0
한올바이오파마(주),9420,85353314,34720483,212880605,26494981,-1804843,1621647,138943699,44529202,-11.21,-5.85,1.08,-24.85,16.42,-9.59,2.99,52.76,0.17,-1.3,0.32,0.1,-0.8,0.13,-1.02,0.14,-1.09,0.88,-6.91,47.24,99.83,-0.3,0.25,-0.3,-0.98,99.91,24.45,-0.3,2.23,5.11,33.44,-0.86,4.9,5.18,592.71,2659.69,-36,179.17,4.41,40.09,44.17,66.93,22.38,59.91,79.08,20.92,644.52,75.75,71.58,245.83,137.24,47.19,40.67,143.59,51.15,28.33,26.45,20.62,51.67,5.83,23.78,0.68,0.86,3.25,72.73,5.93,71.59,91.29,114.24,43.79,1346.96,9.16,14.04,0,0.61,0.84,0.78,5.32,2.83,12.66,28.83,1.4,2.16,3.96,92.06,5.3,25.97,101.16,8.97,40.67,1.1,7.92,1.02,0,0.01,38159.79,17.93,227.34,966.44,27.46,-183.2,34267.87,-419.35,3120.52,966.44,27.46,23.19,19.55,2004213.42,3093.08,UQ,0
(주)중앙에너비스,440,10755897,2345501,58475729,32987879,-943603,-217037,49810931,3915805,-4.97,-2.81,0.58,-23.66,9.38,-4.33,-10.21,17.96,-3.51,-1.89,-2.2,-2.91,-1.57,-3.13,-1.69,-3.64,-1.97,-56.08,-30.31,82.04,103.51,1.18,0.78,-0.75,-2.19,102.3,11.55,-0.72,2.8,11.69,105.99,-8.84,4.66,4.33,1949.75,7999.02,-213,-83.65,-280.42,18.39,17.69,22.54,15.14,81.61,93.3,6.7,1752.33,87.46,85.02,458.58,377.44,0.89,57.5,1001.78,57.5,5.74,7.18,4.3,97.44,2.88,14.38,2.06,2.21,-31.15,103.82,19.5,24.94,95.52,92.13,19.08,62.03,1.28,1.5,0,0.83,1.04,0.89,16,11.83,363.5,1,4.01,4.7,27.35,13.35,27.35,0,0,44.79,8.15,1.05,1.55,3.41,0,0.05,5883.53,10.06,18.53,2000.47,11.81,-1160.64,5970.84,-372.08,1445.42,2000.47,11.81,3.79,3.89,100574.94,-305.7,UQ,0
(주)중앙첨단소재,51980,68000969,9419540,124513876,-192435020,-76828193,-118190,18691841,27845314,-4.6,39.95,9.94,-14.05,7.96,52.27,-28.92,27.38,-41.72,-411.03,-4.89,-6.12,-60.25,-9.74,-95.94,-9.44,-93.05,-17.31,-170.52,72.62,141.72,-369.32,-361.54,9.95,-58.79,339.82,8.92,1.98,0.56,18.24,110.41,3.92,16.52,12.76,92.84,196.51,-848,77.49,-81.99,54.61,6.36,120.33,51.14,45.39,77.64,22.36,191,58.46,49.1,721.91,675.97,343.94,252.23,1732.32,724.01,14.56,28.8,9.74,19.36,19.06,47.05,16.62,21.41,-2.28,37.73,0.93,393.53,288.67,419.59,-24.8,-33.37,-5.55,-36.95,-4.19,0.15,0.23,0.23,0.41,0.39,21.73,16.8,0.25,0.27,4.48,81.39,12.55,9.71,24.77,1.25,290.95,0.35,2.22,0.18,0,0,-65880.3,-52.91,-672.2,0,-352.45,-76830.91,8372.95,1859.14,524.47,0,-352.45,15.64,82.06,826554.52,-6453.55,UQ,0
(주)지노믹트리,228760,97662359,4750851,130675427,20602153,-10390393,1091,2362308,6355818,-1.63,5.62,-11.9,2.4,-32.62,-0.68,-30.89,-30.76,-648.24,-439.84,-9.07,-11.62,-7.89,-12.28,-8.24,-13.24,-8.98,-126.62,-84.69,130.76,748.24,208.44,204.73,-129.8,-10.21,231.77,56.56,-16.78,6.56,9.91,33.71,-43.28,14.17,15.06,957.06,96.97,-429,-559.61,-628.57,74.74,0.34,295.83,74.48,25.26,95.14,4.86,1017.02,26.55,26.22,2055.68,2048.64,554.64,99.38,497.07,0,19.99,5.11,3.82,97.12,1.29,71.1,1.59,1.67,-51.97,89.55,9.61,4085.7,1491.89,4962.45,-192.85,-589.45,-9.38,-518.86,0,0.02,0.02,0.02,0.2,0.33,35.34,10.33,0.02,0.02,5.68,64.21,0,9.15,0,6.55,55.68,0.07,0.13,0.02,0,0.01,-1984.36,-1.52,-11.08,-38.08,-84,-10389.3,10334.92,-3066.28,1197.87,-38.08,-84,5.55,214.44,474367.73,-10059,UQ,0
(주)아티스트스튜디오,200350,50438929,2951622,59269511,-38807202,-14954557,2101736,27306792,5117658,16.54,-34.18,-20.57,26.92,-100,35.04,-34.77,-7.87,-26.81,-54.76,-11.45,-13.3,-27.16,-15.54,-31.73,-14.88,-30.38,-171.65,-350.6,107.87,126.81,-20.26,-0.08,-3.28,-28.79,144.95,4.84,-2.16,0.97,22.86,65.59,-11.29,3.5,1.95,983.48,2919.35,-1624,1.48,-782.73,85.1,0,571.18,85.1,14.9,91.37,8.63,1083.48,16.31,15.68,1708.85,1708.85,1641.92,0,0,0,0,9.45,5.45,52.08,4,80.12,5.91,6.47,-59.73,82.93,9.83,165.12,36.53,197.2,-29.52,-43.15,-2.55,-5.53,0,0.5,0.55,0.58,6.4,3.44,0,0,0.61,0.63,17.68,20.64,0,0,0,31.64,11.54,2.74,37.12,0.54,0.02,0.03,-11313.91,-19.09,-1937.38,0,-41.43,-12852.82,2006.44,-896.43,400.33,0,-41.43,4.88,9.64,102479.2,-6921.1,UQ,0
휴젤(주),145020,522925415,61079734,939439326,1070537841,143134583,22044964,373046886,98627325,1.1,12.05,15.23,-7.9,24.4,7.56,16.69,76.98,44.56,38.37,19.37,17.79,15.32,20.52,17.51,20.28,17.47,2581.09,2108.82,23.02,55.44,-0.28,5.49,-3.63,13.87,58.49,29.97,-5.8,6.44,8.36,29.55,-10.92,3.13,1.84,17095.37,29597.42,12520,11825.65,13188.57,55.66,8.16,125.55,51.12,44.34,89.5,10.5,12201.09,49.54,47.42,856.14,786.32,213.06,113.43,1112.91,217.06,10.19,11.73,7.26,7.35,4.47,49.16,4,4.47,141.05,123.82,176.57,146.19,104.28,216.25,135.23,354.67,14.2,35.75,0,0.4,0.46,0.46,57.92,3.01,102.29,3.57,0.68,0.74,9.7,37.63,15.99,35.65,79.88,8.06,45.26,0.96,2.61,0.62,0,0.01,237166.32,25.25,274.8,1222.86,63.58,165179.55,69985.94,-13550.53,15035.78,1222.86,63.58,7.57,15.27,3476653.34,104942.82,UQ,0
